BUG_ID,ISSUE_ID,APP,SUBCATEGORY,SUBCATEGORY_NAME,REASON
3,1296,Simplenote,A4,Lack of data sync,App fails to clear local note cache on logout so next user sees stale data
6,1294,Simplenote,A7,Incorrect variable assignment,Sort-order preference value never written to persistent storage so it is lost on navigation
7,1293,Simplenote,A7,Incorrect variable assignment,Sort-order selection not committed to SharedPreferences so reverts to default on every load
8,907,Simplenote,A7,Incorrect variable assignment,Search sort and note-list sort share same preference key so one overwrites the other on force-close
13,1190,Simplenote,A3,Wrong control flow,Search tokenizer treats dash as delimiter rather than literal so dash queries match nothing
14,1221,Simplenote,A7,Incorrect variable assignment,Checkbox insertion calculates offset using visual line coordinates without accounting for text wrapping
15,1111,Simplenote,A2,Missing cases,Tag rename checks for duplicates globally but not per-note so renaming creates duplicate on note
18,1070,Simplenote,A4,Lack of data sync,Markdown preview not refreshed on rapid tab switch because sync trigger between edit and renderer missing
20,1007,Simplenote,A7,Incorrect variable assignment,Session authentication token not written to persistent storage so lost on force-close
22,984,Simplenote,A3,Wrong control flow,Widget click handler missing auth state check so unauthenticated user routed to editor not login
23,980,Simplenote,A8,Other wrong implementation,Note editing logic removes CheckableSpan objects from checklist content when text modified
24,952,Simplenote,A7,Incorrect variable assignment,Search highlight offset calculation does not account for checkbox span characters so highlight shifted
27,710,Simplenote,A8,Other wrong implementation,Login error callback invoked twice for single failure because listener not unregistered after first invocation
28,702,Simplenote,A4,Lack of data sync,Dark theme preference not read and applied to toolbar before initial UI render on first launch
29,709,Simplenote,A3,Wrong control flow,Tag note-count query uses case-sensitive comparison so uppercase-tagged notes return zero count
33,642,Simplenote,A2,Missing cases,Share dialog does not normalize icon sizes from different source apps causing inconsistent dimensions
35,615,Simplenote,A5,Improper exception handling,Markdown preview renderer does not null-check value under Dark-at-Night code path so null renders as string
36,8583,AnkiDroid,A2,Missing cases,Animation only triggered on direct touch but not keyboard/gesture code paths — missing case in event handling
37,8229,AnkiDroid,A2,Missing cases,Cloze answer validation only matches first occurrence of repeated cloze text instead of all instances
38,7465,AnkiDroid,A4,Lack of data sync,Downloaded-bytes counter in sync dialog not instrumented or updated during sync so always shows zero
39,8235,AnkiDroid,A2,Missing cases,Fullscreen drawer drag gesture added without handling conflict with existing card swipe gesture recognizers
40,7369,AnkiDroid,A5,Improper exception handling,Answer buttons fail to render in Reviewer under certain configurations due to unhandled rendering exception
43,7836,AnkiDroid,A3,Wrong control flow,Whiteboard conditional checking foreground color was inverted causing wrong background color to be drawn
44,7801,AnkiDroid,A4,Lack of data sync,After editing a card the previewer state is not refreshed so it navigates to wrong card
45,7793,AnkiDroid,A7,Incorrect variable assignment,Missing translated string in Crowdin caused all gesture-menu entries to shift by one position
46,7344,AnkiDroid,A5,Improper exception handling,Partial drawer open leaves drawer state desynchronized blocking subsequent touch events
47,7770,AnkiDroid,A2,Missing cases,Image paste handler appends to field end instead of inserting at current cursor position
48,7768,AnkiDroid,A2,Missing cases,Crop result callback not processed after crop action so cropped image is never applied
50,7730,AnkiDroid,A4,Lack of data sync,Filtered-deck rebuild resets suspension flag on cards instead of preserving it as independent attribute
51,7680,AnkiDroid,A8,Other wrong implementation,Transient message shown as modal MaterialDialog obscured by navigation; should be a Toast
52,7695,AnkiDroid,A7,Incorrect variable assignment,Field rename dialog references wrong string resource constant displaying rename-note-type instead of rename-field
53,7674,AnkiDroid,A2,Missing cases,Card reposition neither records undo entry nor refreshes due field in browser view after completion
54,6288,AnkiDroid,A3,Wrong control flow,Card browser query parser does not properly escape deck names with both asterisks and parentheses
56,7377,AnkiDroid,A3,Wrong control flow,Adding second image overwrites first due to incorrect image-reference management logic
57,6857,AnkiDroid,A4,Lack of data sync,Card browser does not save and restore scroll position when returning from card-edit activity
58,7366,AnkiDroid,A5,Improper exception handling,Home screen widget fails to load data due to unhandled exception or missing initialization in update path
59,7286,AnkiDroid,A4,Lack of data sync,Previewer uses cached default sort order instead of reading currently active sort order from browser
60,7138,AnkiDroid,A3,Wrong control flow,Touch animation logic misroutes rapid consecutive taps causing show-answer tap to be consumed and card skipped
61,7076,AnkiDroid,A7,Incorrect variable assignment,Reviewer displays parent deck name instead of sub-deck name because wrong deck identifier used for display title
62,7070,AnkiDroid,A3,Wrong control flow,Tag-filter search query constructed incorrectly returning no results even when matching tagged cards exist
63,7027,AnkiDroid,A2,Missing cases,Entering fullscreen in previewer fails to hide or deduplicate show-answer button causing it to render twice
64,5802,AnkiDroid,A7,Incorrect variable assignment,Sort arrow icon assigned inverted direction relative to actual sort so ascending and descending arrows are swapped
65,6853,AnkiDroid,A7,Incorrect variable assignment,Rep count incremented before user answers rather than after producing off-by-one in timebox card count
66,6887,AnkiDroid,A4,Lack of data sync,New-card counter not updated when cards added during active review session causing stale negative values
67,6894,AnkiDroid,A3,Wrong control flow,Rounding error in due-time formatting logic adds extra hour when remaining time exceeds ~1h29min
70,5973,AnkiDroid,A2,Missing cases,Image import assumes URIs are local file paths and does not handle cloud-backed content URIs from Google Photos
71,6684,AnkiDroid,A4,Lack of data sync,Field values not passed from note editor to cloze preview renderer so preview always receives empty data
72,6587,AnkiDroid,A3,Wrong control flow,Undo operation subtracts from review counter instead of restoring it allowing count to go negative
73,6576,AnkiDroid,A8,Other wrong implementation,Reminder-setting description text truncated in deck options UI due to insufficient layout space
74,6513,AnkiDroid,A8,Other wrong implementation,Filter-by-tag dialog does not allow long hierarchical tag names to wrap or scroll causing truncation
77,6228,AnkiDroid,A4,Lack of data sync,Custom study incorrectly persists card state changes when reschedule disabled due to failure to isolate session data
78,6200,AnkiDroid,A3,Wrong control flow,Unbury operation applies to wrong cards due to incorrect control flow in deck-context unbury pathway
79,6167,AnkiDroid,A7,Incorrect variable assignment,Typed answer template uses localized field names that do not resolve to canonical English identifiers
80,6119,AnkiDroid,A4,Lack of data sync,Eraser button visual state not re-synchronized with canvas content when new stroke drawn after full undo
82,5187,AnkiDroid,A5,Improper exception handling,Progress bar fails to dismiss because completion callback not triggered for certain card types like cloze
83,5695,AnkiDroid,A8,Other wrong implementation,Star and flag icons flash because rendering pipeline unconditionally injects and removes them rather than conditionally rendering
84,5352,AnkiDroid,A3,Wrong control flow,Field name validator strips parentheses due to overly broad filtering condition diverging from desktop Anki behavior
85,5544,AnkiDroid,A7,Incorrect variable assignment,Font scaling formula uses getTextSize as input to setTextSize without specifying absolute pixel units causing unit mismatch
87,5737,AnkiDroid,A4,Lack of data sync,New card count indicator not synchronized with actual available cards showing non-zero when none available
89,5713,AnkiDroid,A7,Incorrect variable assignment,Scheduler V2 ETA calculation uses incorrect per-card timing values producing inaccurate completion time
90,5091,AnkiDroid,A7,Incorrect variable assignment,Filtered deck rebuild references selected deck variable instead of long-tapped deck causing wrong deck to rebuild
91,5166,AnkiDroid,A3,Wrong control flow,Overly strict regex in Utils.java fails to match img tags with attributes causing conditionals to evaluate image fields as empty
92,5450,AnkiDroid,A4,Lack of data sync,Note type creation after full sync uses stale cached data causing malformed type that ignores user-provided names
93,5184,AnkiDroid,A7,Incorrect variable assignment,Editing card during custom study saves temporary custom deck ID as permanent deck assignment
94,5334,AnkiDroid,A3,Wrong control flow,Dollar sign stripped from typed-answer display because regex pattern in answer processing incorrectly removes it
95,5262,AnkiDroid,A3,Wrong control flow,scrollDecklistToDeck triggered on touch-hold scroll events when it should only run on initial deck list open
98,5216,AnkiDroid,A2,Missing cases,Reposition action missing card-type validation guard that should prevent it applying to review cards
99,5167,AnkiDroid,A2,Missing cases,Rescheduling card during review does not dequeue it because rescheduling dialog lacks dequeue implementation
101,4999,AnkiDroid,A4,Lack of data sync,Card browser always opens to one specific deck because selected deck context not correctly passed to browser activity
105,7992,AnkiDroid,A4,Lack of data sync,Card browser does not update card color after batch suspend because UI adapter not notified to redraw affected cards
106,9005,AnkiDroid,A3,Wrong control flow,Cloze notes with many cards show error because preview system attempts to access non-existent ordinals instead of defaulting to 0
107,8975,AnkiDroid,A3,Wrong control flow,Search All Decks button returns empty because button-triggered search path does not expand deck scope unlike manual dropdown
108,8466,AnkiDroid,A4,Lack of data sync,Card color not updated immediately after flag selection because display layer not notified to refresh visual styling
110,8527,AnkiDroid,A3,Wrong control flow,Gesture answer button actions fail after regression that broke routing of gesture events to answer button handlers
111,8547,AnkiDroid,A3,Wrong control flow,Card browser selected count wrong with duplicate cards because count and selection use different deduplication logic
112,8379,AnkiDroid,A5,Improper exception handling,Bug report cannot be resubmitted after cancellation because ACRA report data not cleared on cancel
114,7934,AnkiDroid,A2,Missing cases,Decimal step intervals below 4 seconds crash scheduler because V2 scheduler has no handling for sub-threshold decimal values
115,8008,AnkiDroid,A7,Incorrect variable assignment,Statistics graph renders extra bar due to off-by-one or boundary error in data calculation mapping points to bars
116,7896,AnkiDroid,A8,Other wrong implementation,Unicode combining diacritics render as squares in typed-answer comparison due to font or rendering pipeline limitation
117,7023,AnkiDroid,A5,Improper exception handling,Export crashes with FileNotFoundException because exporter does not check whether media files exist before opening FileInputStream
118,2595,Amaze,A2,Missing cases,Missing trim() call on filename input is a specific usage case not handled in showNameDialog()
119,2526,Amaze,A4,Lack of data sync,FTP service state stopped via notification not propagated back to update UI — data sync failure
120,2518,Amaze,A1,Missing features,No handler registered for Exit menu item in AppsListFragment so the feature was not implemented
121,2498,Amaze,A5,Improper exception handling,Sort button silently no-ops when getCurrentMainFragment() returns null instead of handling null properly
